Question	GT
"Regarding the MITRE ATT&CK technique T1053.006 for Enterprise platforms, what are systemd timers primarily used for by adversaries?"	C
Which mitigation strategy for MITRE ATT&CK technique T1053.006 involves limiting user access to the 'systemctl' or 'systemd-run' utilities?	C
"In detecting malicious activities involving systemd timers (T1053.006) on the Enterprise platform, which of the following data sources would you monitor for unexpected modifications?"	B
"In the context of T1053.005 (Scheduled Task/Job: Scheduled Task), which procedure example involves the use of Windows Task Scheduler to launch ""CaddyWiper""?"	C
"Regarding T1053.005, which threat actor utilized Windows Task Scheduler to load a .vbe file multiple times a day?"	D
"Under T1053.005, which described method can be used by adversaries to hide scheduled tasks from tools like schtasks /query?"	D
"In T1053.005, which mitigation supports configuring scheduled tasks to run under the authenticated account instead of SYSTEM?"	C
Which detection method for T1053.005 focuses on monitoring newly constructed scheduled jobs by enabling specific event logging services?	A
"For T1053.005, which data source is used to monitor for the creation of scheduled tasks that do not align with known software or patch cycles?"	D
Which malware is known for using crontab for persistence if it does not have root privileges in Linux environments according to MITRE ATT&CK?	D
"According to MITRE ATT&CK, which mitigation involves reviewing changes to the cron schedule, particularly within the /var/log directory for cron execution logs?"	A
Which threat actor is documented by MITRE ATT&CK to have installed a cron job that downloaded and executed files from the command-and-control (C2) server?	D
Which group used the sp_addlinkedsrvlogin command during the 2016 Ukraine Electric Power Attack to create a link between a created account and other servers in the network?	C
Which procedure example is associated with adding created accounts to local admin groups to maintain elevated access?	C
What action does Mimikatz support that allows it to manipulate the password hash of an account without knowing the clear text value?	A
Which mitigation suggests configuring access controls and firewalls to limit access to critical systems and domain controllers?	D
"Which detection method involves monitoring events for changes to account objects and/or permissions on systems and the domain, such as event IDs 4738, 4728, and 4670?"	D
In which scenario might an adversary perform iterative password updates to bypass security policies and preserve compromised credentials?	A
"For MITRE ATT&CK technique T1029, some adversaries use which of the following exfiltration techniques alongside Scheduled Transfer to move data out of the network?"	C
"Which malware example specifically schedules its exfiltration behavior outside local business hours, according to T1029?"	B
"Regarding MITRE ATT&CK T1029, which technique name corresponds to the ID T1029?"	C
"According to the MITRE ATT&CK technique T1029, which mitigation strategy is recommended to prevent scheduled data exfiltration activities?"	D
How can application shims potentially be detected according to the MITRE ATT&CK framework?	A
What would indicate an application shim has been used to maintain persistence as per the given text?	C
Which adversary group has used application shims to maintain persistence as mentioned in the text?	C
Which Windows Registry key is commonly modified to load malicious DLLs for AppInit DLLs on 64-bit systems in Enterprise environments?	B
What is the primary detection method to identify modifications of AppInit_DLLs registry values?	C
Which technique ID corresponds to Event Triggered Execution: AppInit DLLs in the MITRE ATT&CK framework?	A
What mitigation strategy is recommended to prevent adversaries from abusing AppInit DLLs?	D
Which of the following API calls could be indicative of a registry key modification linked to T1546.009 (Event Triggered Execution: AppCert DLLs) on the Enterprise platform?	A
Which data source is most appropriate for monitoring DLL loads by processes to detect suspicious activities related to MITRE ATT&CK technique T1546.009 (Event Triggered Execution: AppCert DLLs)?	C
"To mitigate risks associated with the AppCert DLLs within T1546.009, which application control tool could be employed?"	A
Which MITRE ATT&CK technique involves using Netsh Helper DLLs to establish persistence?	C
What is an appropriate detection strategy for monitoring malicious Netsh Helper DLL activities?	C
"If a security professional needs to identify potentially malicious HKLM\SOFTWARE\Microsoft\Netsh registry key modifications, which data source should they monitor?"	D
"In the context of MITRE ATT&CK, which data source is most relevant for detecting Event Triggered Execution via LC_LOAD_DYLIB Addition on enterprise platforms?"	D
Which mitigation strategy involves allowing applications by known hashes to prevent Event Triggered Execution via LC_LOAD_DYLIB Addition?	C
What action can adversaries take to avoid signature checks after modifying a Mach-O binary to load malicious dylibs?	B
"In the context of MITRE ATT&CK for Enterprise, which data source would you monitor to detect the execution of malicious content triggered by an interrupt signal as described in T1546.005 Event Triggered Execution: Trap?"	C
What is a key difficulty in mitigating the events triggered execution trap technique (T1546.005) as specified in the MITRE ATT&CK framework?	B
Which of the following files is used for configuring a user environment when a bash shell is terminated on a GNU/Linux system?	A
"For macOS Terminal.app using the default shell as zsh, which file is executed to configure the interactive shell environment?"	D
What mitigation can be employed to limit adversaries from easily creating user-level persistence by modifying shell configuration scripts?	A
Which data source should be monitored to detect the creation of new files potentially related to the execution of malicious shell commands?	C
"In the context of MITRE ATT&CK for Enterprise, which of the following best describes the primary risk associated with T1548.004 (Abuse Elevation Control Mechanism: Elevated Execution with Prompt)?"	C
Which of the following mitigation techniques is recommended to reduce the risk associated with T1548.004 on macOS?	D
How can security professionals detect the misuse of the AuthorizationExecuteWithPrivileges API as described in T1548.004?	D
"Which data source is primarily used to detect the modification of registry keys to achieve persistence, according to MITRE ATT&CK?"	D
What specific registry keys would you monitor on a Windows system to detect an adversary using Boot or Logon Autostart Execution by adding a program to a startup folder?	C
"Which example adversary group added a registry key in HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Svchost to maintain persistence using Cobalt Strike, as per the technique T1547.001?"	B
Which command-line interface utility is highlighted for interacting with registry to achieve persistence?	A
Which example procedure involves the technique of modifying the Startup folder to ensure malware execution at user logon?	B
"Which detection technique involves monitoring for the creation of new WMI EventFilter, EventConsumer, and FilterToConsumerBinding events?"	D
Which of the following MITRE ATT&CK data sources should be monitored to detect changes made to files that enable event-triggered execution via screensaver configuration?	B
"In the context of T1546.002, which mitigation involves using Group Policy?"	B
For which procedure example is Gazer known to establish persistence through the system screensaver?	B
Which registry key setting allows an adversary to disable password requirements when unlocking a screensaver?	D
Which registry key should you monitor to detect changes in system file associations that could indicate a T1546.001: Event Triggered Execution: Change Default File Association attack?	B
What specific technique does SILENTTRINITY utilize as part of its UAC bypass process according to T1546.001 for the MITRE ATT&CK Enterprise platform?	C
What is a recommended data component for monitoring executed commands that could establish persistence by changing file associations (T1546.001) on the MITRE ATT&CK Enterprise platform?	D
"Which group utilizes the Data Protection API (DPAPI) to encrypt payloads tied to specific user accounts on specific machines, according to the MITRE ATT&CK technique T1480.001?"	A
"In the context of MITRE ATT&CK technique T1480.001, what can be derived to generate a decryption key for an encrypted payload?"	A
"Under the MITRE ATT&CK technique T1480.001, which malware can store its final payload in the Registry encrypted with a dynamically generated key based on the drive?â?â?é?ö?â?â?é?ç?â?â?é?ûs serial number?"	D
"Under the MITRE ATT&CK technique T1480.001, which of the following is true about environmental keying during payload delivery?"	B
How does monitoring command execution help detect MITRE ATT&CK technique T1480.001 implementations?	A
"According to MITRE ATT&CK technique T1480.001, environmental keying is distinct from typical Virtualization/Sandbox Evasion because it: Checks for sandbox values and continues if none match Uses network traffic patterns to evade detection Relies on the difficulty of reverse engineering techniques Involves target-specific values for decryption and execution?"	D
Which tactic does the MITRE ATT&CK technique T1048.003 pertain to?	C
"Which adversary has routines for exfiltration over SMTP, FTP, and HTTP as per T1048.003 examples?"	A
"What protocol did the adversary group OilRig use to exfiltrate data separately from its primary C2 channel, according to T1048.003 examples?"	C
Which mitigation technique involves enforcing proxies and using dedicated servers for services such as DNS?	D
What data component should be monitored to detect anomalous files that may be exfiltrated over unencrypted protocols?	D.
In which scenario would adversaries utilize the technique T1048.002 in the context of exfiltration over network protocols?	A
Which mitigation technique would best prevent data exfiltration over encrypted non-C2 protocols in the enterprise environment?	A
Which of the following MITRE ATT&CK techniques involves exfiltrating data over a symmetrically encrypted non-command-and-control protocol?	B
Which detection technique involves monitoring for newly constructed network connections sent or received by untrusted hosts?	C
"To mitigate exfiltration over a symmetrically encrypted non-C2 protocol, which mitigation strategy advises using network intrusion prevention systems?"	B
"In context of MITRE ATT&CK T1048.001, programs utilizing the network that do not normally communicate over the network should be monitored under which detection category?"	C
Which technique does the MITRE ATT&CK pattern T1041 encompass?	A
"Which malware, according to MITRE ATT&CK T1041, uses HTTP POST requests for exfiltration?"	C
Which adversary has utilized the Cobalt Strike C2 beacons for data exfiltration?	C
What is the specific defense suggested in MITRE ATT&CK T1041 to prevent exfiltration over C2 channels by using protocol signatures?	C
How does BLUELIGHT exfiltrate data according to T1041?	A
Which mitigative measure involves preventing the creation of new network adapters related to MITRE ATT&CK technique T1011.001 (Exfiltration Over Bluetooth)?	B
Which malware is associated with creating a hidden folder to copy files from drives to a removable drive?	A
What is a recommended mitigation technique to prevent exfiltration of sensitive data to USB devices in MITRE ATT&CK Enterprise framework?	C
Which data source should be monitored for detecting newly executed processes when removable media is mounted?	C
"In MITRE ATT&CK, which Windows Registry key is manipulated by malware such as BoxCaon to maintain persistence?"	C
"In the context of MITRE ATT&CK, which SaaS service logs would be most appropriate to review for detecting new webhook configurations?"	C
Which of the following commands could be indicative of an adversary attempting to create a new webhook configuration in a SaaS service?	B
"Regarding mitigation strategies for exfiltration via webhooks, which technique is recommended?"	C
Which data source is critical for monitoring anomalous traffic patterns that may suggest data exfiltration to a webhook?	D
Which detection technique should be used to identify exfiltration attempts to text storage sites?	C
"Which MITRE ATT&CK tactic is associated with the technique ""Exfiltration Over Web Service: Exfiltration to Text Storage Sites""?"	D
Which technique ID and full name is associated with exfiltrating data to cloud storage services according to MITRE ATT&CK?	D
"Which of the following procedures is associated with the adversary group ""Earth Lusca""?"	A
How did Cinnamon Tempest exfiltrate captured data according to the provided text?	A
What mitigation strategy can be employed to prevent unauthorized use of external cloud storage services?	B
What is the primary advantage for adversaries exfiltrating data to a code repository as described in MITRE ATT&CK T1567.001 (Exfiltration Over Web Service: Exfiltration to Code Repository)?	B
"According to MITRE ATT&CK T1567.001 (Exfiltration Over Web Service: Exfiltration to Code Repository), which mitigation strategy can be employed to prevent unauthorized use of external services for data exfiltration?"	D
What type of data source is recommended for detecting command execution that may exfiltrate data to a code repository in MITRE ATT&CK T1567.001 (Exfiltration Over Web Service: Exfiltration to Code Repository)?	C
Which network traffic examination technique can help detect artifacts of common exploit traffic for T1190 - Exploit Public-Facing Application?	C
Which type of vulnerabilities are commonly exploited in the technique T1190 - Exploit Public-Facing Application by threat actors like APT28 and APT41?	A
What is a recommended mitigation strategy for T1190 - Exploit Public-Facing Application to limit the exploited target's access to other system features and processes?	D
Which of the following vulnerabilities has been used by the Dragonfly group (G0035) to exploit public-facing applications for initial access?	A
"In the context of T1190 - Exploit Public-Facing Application, what methodology can help in rapidly patching externally exposed applications?"	D
Which threat actor group has been noted to exploit vulnerabilities such as CVE-2020-5902 for initial access on public-facing applications?	D
"What strategy might mitigate the impact of browser-based exploitation, according to MITRE ATT&CK?"	C
Which of the following threat groups exploited the Microsoft Office vulnerability CVE-2017-11882 in their attacks?	A
Name a mitigation technique recommended to prevent exploitation behavior. Application Whitelisting Exploit Protection Network Segmentation File Integrity Monitoring?	D
Which data sources should be monitored to detect exploitation attempts according to MITRE ATT&CK?	D
Which mitigation involves using sandboxing to limit the impact of software exploitation?	A
What could be an indication of a software exploitation leading to successful compromise according to the detection measures?	C
"Under the MITRE ATT&CK framework, which group has been known to use CVE-2015-4902 to bypass security features for defense evasion?"	B
Which mitigation technique recommends using tools like the Enhanced Mitigation Experience Toolkit (EMET) to reduce the risk of software exploitation?	B
"What data source and component should be monitored for abnormal behavior indicating possible exploitation for defense evasion, according to MITRE ATT&CK?"	C
What advantage do adversaries gain by exploiting vulnerabilities in public cloud infrastructures of SaaS applications?	C
What group has leveraged CVE-2021-36934 for privilege escalation according to MITRE ATT&CK?â?â?é?ö?â?â?é?ç?â?â?é?ûs technique T1068?	A
Which adversary is known to have used Bring Your Own Vulnerable Driver (BYOVD) for privilege escalation?	C
Which mitigation strategy involves using security applications such as Windows Defender Exploit Guard (WDEG) to mitigate privilege escalation exploits?	C
"According to MITRE ATT&CK?â?â?é?ö?â?â?é?ç?â?â?é?ûs technique T1068, which of the following detection sources would be relevant for identifying the load of a known vulnerable driver?"	C
Which of the following adversaries has exploited the CVE-2017-0213 vulnerability?	A
"According to MITRE ATT&CK?â?â?é?ö?â?â?é?ç?â?â?é?ûs technique T1068, which mitigation strategy emphasizes the importance of updating software to prevent exploitation?"	C
Which MITRE ATT&CK technique involves adversaries exploiting remote services to gain unauthorized access to internal systems?	B
"What is a common method adversaries use to determine if a remote system is vulnerable, in the context of T1210?"	B
Which high-value target category is most likely to be exploited for lateral movement in the technique T1210?	A
Which of the following vulnerabilities has Flame exploited for lateral movement according to the document?	B
"In the context of technique T1210, which mitigation strategy is specifically aimed at reducing risks from undiscovered vulnerabilities through the use of sandboxing?"	C
Which data source is mentioned for detecting software exploits using deep packet inspection in the context of T1210?	B
Which of the following procedures is associated with the use of BITSAdmin to maintain persistence?	B
Which mitigation strategy is recommended to limit the default BITS job lifetime in Group Policy or by editing specific Registry values?	A
Which adversary group has used BITSAdmin to exfiltrate stolen data from a compromised host?	A
Which data source detects new network activity generated by BITS?	A
Adversaries leveraging external-facing remote services for initial access or persistence is categorized under which MITRE ATT&CK technique?	A
"Which group installed a modified Dropbear SSH client as part of their attack strategy in the 2015 Ukraine Electric Power Attack, according to MITRE ATT&CK?"	B
How did APT41 maintain persistent access to a compromised online billing/payment service?	C
"In the SolarWinds Compromise, which protocol was enabled over HTTP/HTTPS as a backup persistence mechanism using cscript?"	C
Which mitigation strategy involves using strong two-factor or multi-factor authentication for remote service accounts?	C
What data source should be monitored to detect follow-on activities when authentication to an exposed remote service is not required?	B
During which attack was CaddyWiper deployed to wipe files related to OT capabilities?	B
Which malware performs an in-depth wipe of the filesystem and attached storage through data overwrite or IOCTLS?	B
What distinguishes Data Destruction (T1485) from Disk Content Wipe and Disk Structure Wipe?	C
Which group is known for using tools to delete files and folders from victim's desktops and profiles?	D
What is a mitigation strategy for Data Destruction (T1485) according to MITRE ATT&CK?	C
Which of the following data sources is NOT used for detecting data destruction activities such as file deletions?	C
"In the context of MITRE ATT&CK, which technique ID and name describe the use of encoding systems like ASCII, Unicode, Base64, and MIME for C2 traffic?"	B
"Given the procedure example for BADNEWS malware, which transformation does it apply to command and control (C2) traffic?"	D
Which mitigation strategy (ID and name) is recommended to prevent adversaries from successfully encoding their C2 traffic?	D
"Which of the following techniques might adversaries employ to unlock and gain access to manipulate files before encrypting them, as per the MITRE ATT&CK framework?"	C
"Which malware has the capability to encrypt Windows devices, Linux devices, and VMware instances according to MITRE ATT&CK?"	B
Which of these adversary groups has used ransomware to encrypt files using a combination of AES256 and RSA encryption schemes?	C
"According to MITRE ATT&CK, which detection method is useful for identifying unexpected network shares being accessed?"	D
Scattered Spider (G1015) is known to interact with which types of cloud resources for data collection according to the provided document?	C
Which mitigation strategy is described by M1041 (Encrypt Sensitive Information) and what is one of its recommendations?	D
"In the detection section, DS0010 (Cloud Storage) includes monitoring for unusual queries. What additional method does it suggest for identifying suspicious activity?"	C
Which of the following actions is an example of how AADInternals (S0677) uses technique T1530 (Data from Cloud Storage)?	A
"Regarding MITRE ATT&CK technique T1602, which mitigation approach involves separating SNMP traffic from other types of network traffic?"	C
"For detecting adversaries attempting to exploit T1602 (Data from Configuration Repository), monitoring which data source would be most effective?"	C
"In the context of MITRE ATT&CK for Enterprise, which advanced persistent threat (APT) group is known to have collected files from various information repositories?"	B
Which of the following mitigations recommends the use of multi-factor authentication (MFA) to protect critical and sensitive repositories?	B
Which APT group is associated with the use of a custom .NET tool to collect documents from an organization's internal central database?	B
"What kind of user accounts should be closely monitored when accessing information repositories, according to the detection recommendations for T1213?"	C
Under which MITRE ATT&CK Tactic does the technique ID T1005 fall?	A
Which command interpreter is mentioned as a tool that adversaries might use to gather information from local systems as part of T1005?	A
Which of the following procedures is known to collect local data from an infected machine as part of T1005?	C
What type of databases may adversaries search according to T1005?	C
One of the mitigations states that this kind of attack cannot be easily mitigated. Why?	D
Which detection method involves monitoring newly constructed network connections to network shares?	D
"According to MITRE ATT&CK, which specific technique (ID and Name) describes the activity of adversaries searching and collecting data from connected removable media?"	C
Which data source and data component are crucial for detecting the collection of files from a system's connected removable media according to the provided document?	C
Which mitigation strategy can restrict access to sensitive data and detect unencrypted sensitive data when dealing with T1025 - Data from Removable Media?	C
What specific capability does the adversary group Gamaredon Group possess concerning removable media as described in the document?	D
"Regarding MITRE ATT&CK technique ID T1020.001 ?â?â?é?ö?â?â?é?ç?â?â?é?? Automated Exfiltration: Traffic Duplication, which cloud-based service supports traffic mirroring?"	B
"In the context of MITRE ATT&CK ID T1020.001, which mitigation ID is focused on ensuring that users do not have permissions to create or modify traffic mirrors in cloud environments?"	B
"Based on MITRE ATT&CK ID T1020.001 concerning Automated Exfiltration: Traffic Duplication, which data source should be monitored to detect anomalous or extraneous network traffic patterns?"	B
"In the context of MITRE ATT&CK for Enterprise, which mitigation involves implementing IT disaster recovery plans for taking regular data backups?"	C
"According to MITRE ATT&CK, which adversary group has been identified with the technique of performing fraudulent transactions to siphon off money incrementally?"	C
Which MITRE ATT&CK data source would you monitor to detect unexpected deletion of files to manipulate external outcomes or hide activity?	A
What specific expertise might an adversary need to effectively manipulate data in complex systems?	D
"In the context of MITRE ATT&CK and ID T1001, which of the following is a method used by adversaries to obfuscate command and control traffic?"	B
Which attack from the given procedures is known to obfuscate C2 traffic by modifying headers and URL paths?	C
"In the context of MITRE ATT&CK, which of the following adversaries is known to stage data in password-protected archives prior to exfiltration?"	D
"Regarding the Data Staged technique (ID: T1074), which mitigation strategy is suggested to detect actions related to file compression or encryption in a staging location?"	B
"Under the Data Staged technique (ID: T1074), how does Kobalos stage collected data prior to exfiltration?"	C
"When detecting the Data Staged technique (ID: T1074), which data component of the Command data source should be monitored?"	D
"In the context of MITRE ATT&CK T1030 (Data Transfer Size Limits), which group's method emphasizes exfiltrating files in chunks smaller than 1MB?"	A
"Which adversary technique, identified as T1030, involves dividing files if the size is 0x1000000 bytes or more?"	C
Which attack pattern under T1030 exfiltrates data in compressed chunks if a message is larger than 4096 bytes?	D
"Under MITRE ATT&CK ID T1030, which threat actor splits encrypted archives containing stolen files into 3MB parts?"	C
"According to mitigation strategies for T1030, what does M1031 recommend for detecting adversary command and control infrastructure?"	C
"According to MITRE ATT&CK, which technique ID corresponds to Debugger Evasion?"	C
"Within MITRE ATT&CK, what API function is commonly utilized by adversaries to check for the presence of a debugger?"	D
Which of the following procedures demonstrates the use of the CheckRemoteDebuggerPresent function to evade debuggers?	B
What type of flag does the DarkGate malware check to determine if it is being debugged?	C
How might adversaries flood debugger logs to evade detection?	A
Which of the following MITRE ATT&CK tactic categories does the technique T1491 (Defacement) fall under?	C
"Regarding the detection methods for technique T1491 (Defacement), which data source would you monitor for newly constructed visual content?"	B
"In which scenario is the command certutil -decode most likely used, according to Technique T1140?"	B
"If a security professional detects the execution of new processes that could be linked to hiding artifacts, which data source should they particularly monitor according to the detection guidelines for Technique T1140?"	D
"According to MITRE ATT&CK Technique T1140, which Event ID is relevant for detecting the creation of processes like CertUtil.exe for possible malicious decoding activities?"	A
"In a Kubernetes environment, what is the primary tactic adversaries might use to access other containers running on the same node?"	C
What measure can be employed to limit communications with the container service to secure channels?	D
Which detection source would be most effective to monitor for unexpected modifications in Kubernetes pods that might indicate a container deployment?	C
How can the use of network segmentation help mitigate threats related to container deployments?	D
Why is the technique T1587 difficult to mitigate proactively according to the given document?	C
Which data source can be leveraged to identify additional malware samples and development patterns over time under T1587?	C
"In MITRE ATT&CK technique T1652 (Device Driver Discovery), which of the following tools could be used by adversaries to enumerate device drivers on a Windows host?"	C
"According to MITRE ATT&CK technique T1652 (Device Driver Discovery), which data source is recommended for detecting potentially malicious enumeration of device drivers through API calls?"	C
"Which malware, as per the MITRE ATT&CK technique T1652 (Device Driver Discovery), is known to enumerate device drivers located in the registry at HKLM\Software\WBEM\WDM?"	A
What kind of exfiltration method does CosmicDuke (S0050) employ according to the MITRE ATT&CK documentation?	C
Which entity is associated with the automatic exfiltration of data to Dropbox as per MITRE ATT&CK technique T1020 examples?	C
What is one way to detect the use of automated exfiltration techniques?	A
"During the Frankenstein campaign (C0001), which tool was used for automatic exfiltration back to the adversary's C2 according to MITRE ATT&CK documentation?"	C
Which of the following utilities is used by the Scattered Spider group for creating volume shadow copies of virtual domain controller disks?	B
Which mitigation strategy involves ensuring that only specific accounts can configure and manage backups?	C
"According to the document, what data component should be monitored to detect command execution related to Direct Volume Access?"	D
Which mitigation strategy is recommended for securing against T1484 (Domain or Tenant Policy Modification) in an enterprise Active Directory environment?	B
"To detect potential misuse under the MITRE ATT&CK technique T1484, which of the following logs would be most useful?"	A
What specific auditing tool is mentioned for identifying GPO permissions abuse opportunities under the MITRE ATT&CK technique T1484?	B
What command can be used for Domain Trust Discovery specifically with nltest?	B
Which of the following tools utilizes LDAP queries and nltest /domain_trusts for domain trust discovery as per the MITRE ATT&CK framework?	D
"Among the attack procedures, which one uses a PowerShell cmdlet Get-AcceptedDomain for domain trust enumeration?"	C
Which procedure/example specifically mentions using both AdFind and the Nltest utility to enumerate Active Directory trusts?	B
What is a possible mitigation strategy for Domain Trust Discovery in multi-domain/forest environments?	C
Which technique involves adversaries targeting a user's web browser for exploitation without targeting the external facing applications directly?	A
Which APT group used watering hole attacks and zero-day exploits to gain initial access within a specific IP range?	C
What mitigation technique involves using browser sandboxes to limit the impact of exploitation?	B
Which data source is used to detect abnormal behaviors of browser processes indicating a potential compromise?	B
APT19 is noted for compromising which high-profile website to perform a watering hole attack?	C
Which APT group is noted for employing a profiler called RICECURRY to profile a victim's web browser during a strategic web compromise?	B
"In the context of MITRE ATT&CK, which adversary technique involves dynamically establishing connections to command and control infrastructure?"	C
What adversary group is known for re-registering a ClouDNS dynamic DNS subdomain which was previously used by ANDROMEDA?	A
Which malware can be configured to utilize dynamic DNS for command and control communications?	D
Which of the following procedures involves using Bitcoin blockchain transaction data for resolving C2 server IP addresses?	A
"Which MITRE ATT&CK tactic does T1584.007 - Compromise Infrastructure: Serverless, belong to?"	A
"Within the MITRE ATT&CK framework, which of the following groups has utilized a large-scale botnet targeting Small Office/Home Office (SOHO) network devices?"	C
Which of the following describes a mitigation difficulty for adversaries using technique T1584.005 (Enterprise) involving botnets?	C
"Which adversary has compromised legitimate websites to host C2 and malware modules, according to the MITRE ATT&CK technique T1584.004 (Compromise Infrastructure: Server)?"	D
"In the context of MITRE ATT&CK T1584.004 (Compromise Infrastructure: Server), which group is known for using compromised PRTG servers from other organizations for C2?"	C
"According to the detection guidance for MITRE ATT&CK T1584.004 (Compromise Infrastructure: Server), what can internet scans reveal when adversaries compromise servers?"	B
Which MITRE ATT&CK T1584.004 (Compromise Infrastructure: Server) threat actor has compromised websites to serve fake updates via legitimate sites?	A
"Given the MITRE ATT&CK technique T1584.003 ""Compromise Infrastructure: Virtual Private Server,"" which detection method could reveal adversaries' VPS usage after they have provisioned software for Command and Control purposes?"	A
"What is a key challenge in mitigating the use of compromised Virtual Private Servers (VPSs) by adversaries for infrastructure purposes, according to the MITRE ATT&CK technique T1584.003?"	C
"According to the Procedure Examples for MITRE ATT&CK technique T1584.003, which threat group has been reported to use compromised VPS infrastructure from Iranian threat actors?"	C
Which mitigation strategy is identified for MITRE ATT&CK technique T1584.002 (Compromise Infrastructure: DNS Server)?	B
What kind of DNS data sources are recommended for detection in T1584.002?	D
"Which adversary group compromised domains to distribute malware, according to MITRE ATT&CK?â?â?é?ö?â?â?é?ç?â?â?é?ûs T1584.001 technique?"	A
What Tactic does the MITRE ATT&CK technique T1584.001 fall under?	A
Why is domain registration hijacking attractive to adversaries?	C
"During the SolarWinds Compromise, which adversary group used the Compromise Infrastructure: Domains technique for their C2 infrastructure?"	C
Which mitigation strategy might help in reducing the impact of the Compromise Infrastructure: Domains technique?	C
Which mitigation strategy focuses on preventing unauthorized command execution within a container by restricting file system changes?	C
"If an adversary has sufficient permissions, which command can they use to execute commands in a Kubernetes cluster?"	A
"To restrict user privileges to specific namespaces in Kubernetes, which practice should you avoid?"	A
"In the context of MITRE ATT&CK Technique T1613 (Container and Resource Discovery) for Enterprise environments, which command was reported to be used by adversary TeamTNT for checking running containers in their operations?"	B
Which specific mitigation strategy focuses on limiting access to the container environment's APIs to managed and secure channels?	A
Which adversary tool is known for utilizing the 'masscan' utility to search for additional running containers via kubelets and the kubelet API?	C
Which technique involves adversaries creating cloud accounts to maintain access to victim systems?	B
"In the context of creating new cloud accounts, which cloud provider uses the term 'service principals' and 'managed identities'?"	C
Which group is known for creating global admin accounts in targeted organizations for persistence based on MITRE ATT&CK technique T1136.003?	A
What is one detection method for identifying unusual new cloud account creation per MITRE ATT&CK technique T1136.003?	D
